Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
643,50521.44,23817.450000000004,276424.65,677,34,0,25,0,11,0
644,50060.46,23391.880000000005,273694.18,667,36,0,24,0,11,0
645,50024.59999999999,22963.849999999995,273086.8499999999,657,36,0,23,0,11,0
646,49993.439999999995,23309.999999999996,273277.19999999995,672,36,0,23,0,11,0
647,49963.329999999994,24336.359999999997,274153.00999999995,674,35,0,25,0,11,0
648,50676.06999999999,23122.140000000007,276502.49,670,35,0,24,0,11,0
649,49688.59,22827.270000000004,271270.22,663,35,0,23,0,11,0
650,50676.159999999996,23562.52,276943.32,674,37,0,24,0,11,0
651,51041.21,23827.83,279033.88,683,35,0,25,0,11,0
652,50493.619999999995,23008.05,275476.14999999997,662,35,0,25,0,11,0
653,49978.06,22657.30000000001,272547.6,656,36,0,25,0,11,0
654,49975.65999999999,22958.02,272836.31999999995,669,36,0,23,0,11,0
655,49912.66999999999,22607.590000000004,272170.93999999994,650,36,0,25,0,11,0
656,50312.60999999999,22992.22,274555.26999999996,659,36,0,24,0,11,0
657,50315.49999999999,22406.190000000002,273983.68999999994,659,36,0,24,0,11,0
658,50151.04,23157.43,273912.63,659,37,0,24,0,11,0
659,49835.57,22952.120000000003,272129.97000000003,649,34,0,24,0,11,0
660,49424.799999999996,23509.12,270633.12,668,37,0,25,0,11,0
661,50299.77,23032.53,274531.38,670,36,0,23,0,11,0
662,50520.39,22793.76,275395.71,653,34,0,23,0,11,0
663,50413.719999999994,23081.860000000004,275150.45999999996,663,35,0,25,0,11,0
664,50040.13,23022.87,273223.52,663,36,0,24,0,11,0
665,48181.549999999996,22978.8,263886.55,639,35,0,24,0,11,0
666,50059.09,23178.480000000003,273473.93,670,36,0,24,0,11,0
667,50626.149999999994,23483.170000000002,276613.92,677,36,0,26,0,11,0
668,49767.33999999999,23103.88,271940.57999999996,670,37,0,26,0,11,0
669,50787.53,23315.580000000005,277253.23,669,35,0,24,0,11,0
670,50117.06999999999,22783.999999999993,273369.35,655,35,0,23,0,11,0
671,50163.38999999999,23219.140000000003,274036.08999999997,670,37,0,25,0,11,0
672,49826.56999999999,23352.85,272485.69999999995,668,37,0,24,0,11,0
673,50290.469999999994,23189.620000000003,274641.97,666,37,0,24,0,11,0
674,49153.62999999999,23196.110000000004,268964.25999999995,656,37,0,24,0,11,0
675,50515.00999999999,23681.35,276256.3999999999,679,36,0,23,0,11,0
676,49705.81999999999,23411.69,271940.79,671,38,0,24,0,11,0
677,48504.92999999999,22918.24,265442.88999999996,650,34,0,23,0,11,0
678,50107.06,23567.220000000005,274102.52,670,35,0,25,0,11,0
679,49791.829999999994,23504.079999999998,272463.23,673,35,0,24,0,11,0
680,50155.689999999995,23635.250000000004,274413.7,664,35,0,25,0,11,0
681,50160.88,23605.32,274409.72,667,34,0,25,0,11,0
682,49479.85,22998.54,270397.79,663,38,0,24,0,11,0
683,50834.899999999994,23706.13,277880.62999999995,675,34,0,25,0,11,0
684,50034.29999999999,23604.870000000003,273776.36999999994,662,35,0,23,0,11,0
685,49951.06,23077.649999999998,272832.95,666,36,0,23,0,11,0
686,49495.619999999995,23165.410000000003,270643.51,658,36,0,25,0,11,0
687,49729.05999999999,23270.75,271916.04999999993,659,36,0,24,0,11,0
688,49718.829999999994,23361.600000000002,271955.74999999994,669,37,0,25,0,11,0
689,49917.43,23384.77,272971.92,669,37,0,24,0,11,0
690,50541.909999999996,22957.030000000002,275666.58,670,35,0,23,0,11,0
691,50186.45999999999,23895.990000000005,274828.29,669,35,0,26,0,11,0
692,49309.62999999999,23836.280000000002,270384.43,670,36,0,26,0,11,0
693,49403.81999999999,23505.33,270524.43,671,37,0,25,0,11,0
694,50325.84,22431.459999999995,274060.66,652,36,0,22,0,11,0
695,49650.42999999999,23063.000000000004,271315.14999999997,664,37,0,24,0,11,0
696,49667.56,23778.900000000005,272116.7,672,37,0,25,0,11,0
697,49923.079999999994,23112.56,272727.95999999996,668,35,0,24,0,11,0
698,49027.799999999996,23098.11,268237.11,651,35,0,24,0,11,0
699,50579.30999999999,23484.480000000003,276381.02999999997,675,35,0,23,0,11,0
700,50422.56999999999,23836.120000000003,275948.97,668,35,0,26,0,11,0
701,48936.409999999996,22964.760000000002,267646.81,643,34,0,25,0,11,0
702,49465.149999999994,23982.510000000002,271308.25999999995,676,36,0,24,0,11,0
703,50401.46,23343.48,275350.77999999997,670,33,0,25,0,11,0
704,48978.39,23498.74,268390.69,658,34,0,25,0,11,0
705,49749.38,23736.820000000003,272483.72,670,36,0,25,0,11,0
706,50351.13999999999,23835.889999999996,275591.58999999997,673,34,0,24,0,11,0
707,49889.759999999995,23771.690000000006,273220.49,668,36,0,26,0,11,0
708,50071.049999999996,23185.530000000002,273540.77999999997,664,35,0,25,0,11,0
709,49897.95,23540.67,273030.42,670,35,0,24,0,11,0
710,49243.17,22645.320000000003,268861.17,654,35,0,23,0,11,0
711,50255.5,22638.610000000004,273916.11,667,37,0,24,0,11,0
712,50245.59999999999,22884.64,274112.63999999996,667,36,0,24,0,11,0
713,48675.72,22705.429999999997,266084.03,645,33,0,22,0,11,0
714,50051.52,23232.520000000004,273490.12,658,36,0,25,0,11,0
715,50464.509999999995,23031.649999999994,275354.19999999995,675,36,0,24,0,11,0
716,50104.61999999999,23964.040000000005,274487.13999999996,675,36,0,27,0,11,0
717,50414.380000000005,23377.480000000003,275449.38,673,36,0,23,0,11,0
718,50173.23999999999,23642.379999999997,274508.57999999996,667,35,0,26,0,11,0
719,48222.659999999996,23035.13,264148.43,645,36,0,25,0,11,0
