Global_Route_ID,Day,Route_ID,Route,Demand,Duration_seconds,Duration_hours,Overtime,Owned_Cost_NZD,Leased_Cost_NZD
1380,Saturday,1249,Warehouse -> Pak 'n Save Albany -> Four Square Hobsonville -> Warehouse,10.0,16387.22,4.552005555555556,True,1190.0,4200.0
1381,Saturday,1250,Warehouse -> Four Square Lancaster -> Pak 'n Save Albany -> Warehouse,10.0,17121.27,4.755908333333333,True,1190.0,4200.0
1382,Saturday,1251,Warehouse -> Pak 'n Save Albany -> Four Square Torbay -> Warehouse,10.0,17466.38,4.851772222222222,True,1190.0,4200.0
1383,Saturday,1252,Warehouse -> Pak 'n Save Botany -> Warehouse,9.0,14657.42,4.0715055555555555,True,1190.0,4200.0
1384,Saturday,1253,Warehouse -> Pak 'n Save Highland Park -> Pak 'n Save Botany -> Warehouse,16.0,22393.190000000002,6.220330555555556,True,1810.0,5600.0
1385,Saturday,1254,Warehouse -> Pak 'n Save Highland Park -> Four Square Cockle Bay -> Pak 'n Save Botany -> Warehouse,16.0,22811.38,6.336494444444445,True,1810.0,5600.0
1386,Saturday,1255,Warehouse -> Pak 'n Save Botany -> Four Square Botany Junction -> Warehouse,11.0,16848.739999999998,4.680205555555555,True,1190.0,4200.0
1387,Saturday,1256,Warehouse -> Four Square Cockle Bay -> Pak 'n Save Botany -> Four Square Botany Junction -> Warehouse,11.0,17387.93,4.829980555555555,True,1190.0,4200.0
1388,Saturday,1257,Warehouse -> Four Square Pakuranga Heights -> Four Square Cockle Bay -> Pak 'n Save Botany -> Four Square Botany Junction -> Warehouse,13.0,19781.61,5.494891666666667,True,1500.0,4200.0
1389,Saturday,1258,Warehouse -> Four Square Pakuranga Heights -> Pak 'n Save Botany -> Four Square Botany Junction -> Warehouse,13.0,18927.13,5.257536111111111,True,1500.0,4200.0
1390,Saturday,1259,Warehouse -> Four Square Cockle Bay -> Pak 'n Save Botany -> Warehouse,9.0,15196.61,4.2212805555555555,True,1190.0,4200.0
1391,Saturday,1260,Warehouse -> Four Square Pakuranga Heights -> Four Square Cockle Bay -> Pak 'n Save Botany -> Warehouse,11.0,17590.29,4.886191666666667,True,1190.0,4200.0
1392,Saturday,1261,Warehouse -> Four Square Pakuranga Heights -> Pak 'n Save Botany -> Warehouse,11.0,16735.809999999998,4.648836111111111,True,1190.0,4200.0
1393,Saturday,1262,Warehouse -> Pak 'n Save Clendon -> Warehouse,7.0,11367.34,3.1575944444444444,False,694.67,2800.0
1394,Saturday,1263,Warehouse -> Pak 'n Save Clendon -> Pak 'n Save Mangere -> Warehouse,15.0,20467.75,5.6854861111111115,True,1500.0,4200.0
1395,Saturday,1264,Warehouse -> Pak 'n Save Manukau -> Pak 'n Save Clendon -> Warehouse,14.0,19670.52,5.464033333333333,True,1500.0,4200.0
1396,Saturday,1265,Warehouse -> Pak 'n Save Clendon -> Four Square Botany Junction -> Pak 'n Save Manukau -> Warehouse,16.0,22513.53,6.253758333333333,True,1810.0,5600.0
1397,Saturday,1266,Warehouse -> Four Square Cockle Bay -> Four Square Botany Junction -> Pak 'n Save Manukau -> Pak 'n Save Clendon -> Warehouse,16.0,24113.57,6.698213888888889,True,1810.0,5600.0
1398,Saturday,1267,Warehouse -> Pak 'n Save Papakura -> Pak 'n Save Clendon -> Warehouse,15.0,21426.98,5.951938888888889,True,1500.0,4200.0
1399,Saturday,1268,Warehouse -> Pak 'n Save Clendon -> Four Square Botany Junction -> Warehouse,9.0,14779.849999999999,4.105513888888889,True,1190.0,4200.0
1400,Saturday,1269,Warehouse -> Four Square Cockle Bay -> Four Square Botany Junction -> Pak 'n Save Clendon -> Warehouse,9.0,16421.43,4.561508333333333,True,1190.0,4200.0
1401,Saturday,1270,Warehouse -> Four Square Pakuranga Heights -> Four Square Cockle Bay -> Four Square Botany Junction -> Pak 'n Save Clendon -> Warehouse,11.0,18815.11,5.226419444444445,True,1500.0,4200.0
