Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
533,50104.59,22818.500000000007,273341.45,660.0,35,0,24,0,11,0
534,50329.91,23645.05,275294.60000000003,681.0,36,0,26,0,11,0
535,50752.78,22886.7,276650.6,664.0,34,0,25,0,11,0
536,49931.13,22765.170000000002,272420.82,657.0,36,0,25,0,11,0
537,50420.02,23333.22,275433.31999999995,668.0,35,0,25,0,11,0
538,50732.34,23230.65,276892.35,667.0,35,0,24,0,11,0
539,49585.88,23721.310000000005,271650.71,672.0,36,0,27,0,11,0
540,50231.38,23852.399999999994,275009.3,675.0,37,0,26,0,11,0
541,49105.36,22936.820000000007,268463.62,656.0,36,0,24,0,11,0
542,50801.5,22656.000000000004,276663.5,662.0,34,0,23,0,11,0
543,50339.329999999994,22580.370000000003,274277.01999999996,657.0,35,0,25,0,11,0
544,49978.95,23392.77,273287.52,662.0,35,0,25,0,11,0
545,49897.329999999994,23498.75,272985.39999999997,662.0,35,0,26,0,11,0
546,49082.95,22756.829999999998,268171.58,656.0,35,0,25,0,11,0
547,50190.87999999999,23451.850000000002,274406.24999999994,674.0,35,0,26,0,11,0
548,50717.01,23619.330000000005,277204.38,666.0,35,0,26,0,11,0
549,50294.53999999999,23590.759999999995,275063.45999999996,664.0,36,0,26,0,11,0
550,50679.439999999995,22726.31,276123.51,664.0,35,0,23,0,11,0
551,50273.58,23449.710000000003,274817.61000000004,662.0,34,0,25,0,11,0
552,50033.119999999995,23464.509999999995,273630.11,666.0,35,0,25,0,11,0
553,50294.65999999999,23027.87,274501.1699999999,645.0,35,0,24,0,11,0
554,50224.63,22245.04,273368.19,650.0,35,0,24,0,11,0
555,50664.83,23497.93,276822.08,672.0,34,0,25,0,11,0
556,50265.92999999999,23176.900000000005,274506.55,663.0,34,0,25,0,11,0
557,49674.56,23197.390000000003,271570.19,669.0,37,0,23,0,11,0
558,50912.53999999999,23059.03,277621.73,671.0,35,0,25,0,11,0
559,50074.87999999999,22870.1,273244.49999999994,655.0,36,0,24,0,11,0
560,48226.53999999999,23804.159999999996,264936.8599999999,663.0,36,0,26,0,11,0
561,50219.799999999996,23421.37,274520.37,669.0,35,0,24,0,11,0
562,50754.85999999999,23107.469999999998,276881.76999999996,668.0,36,0,24,0,11,0
563,50289.60999999999,22508.100000000006,273956.14999999997,642.0,35,0,25,0,11,0
564,49980.32,23475.2,273376.8,666.0,34,0,24,0,11,0
565,49134.25999999999,22873.819999999996,268545.11999999994,655.0,36,0,24,0,11,0
566,50080.82,23589.81,273993.91000000003,677.0,37,0,25,0,11,0
567,50432.369999999995,22885.16,275047.00999999995,656.0,36,0,24,0,11,0
568,49835.74999999999,23108.619999999995,272287.37,660.0,36,0,23,0,11,0
569,50499.22999999999,23600.760000000006,276096.9099999999,672.0,36,0,25,0,11,0
570,50283.479999999996,23807.489999999998,275224.88999999996,666.0,36,0,25,0,11,0
571,50245.439999999995,23386.3,274613.5,668.0,36,0,22,0,11,0
572,50192.729999999996,22874.770000000004,273838.42,667.0,37,0,25,0,11,0
573,49817.469999999994,23154.420000000002,272241.76999999996,671.0,38,0,24,0,11,0
574,49928.57,22590.780000000002,272233.63,654.0,34,0,24,0,11,0
575,50033.09999999999,22987.850000000002,273153.3499999999,661.0,36,0,24,0,11,0
576,49537.53,23443.929999999997,271131.58,665.0,35,0,23,0,11,0
577,50432.13,23331.0,275491.65,666.0,36,0,25,0,11,0
578,51089.21,23107.800000000003,278553.85,673.0,35,0,23,0,11,0
579,49853.83999999999,22969.389999999996,272238.58999999997,659.0,37,0,23,0,11,0
580,50595.509999999995,23642.070000000003,276619.62,676.0,36,0,25,0,11,0
581,50523.99999999999,23313.33,275933.32999999996,667.0,35,0,25,0,11,0
582,48053.27999999999,23095.62,263362.01999999996,644.0,34,0,25,0,11,0
583,50040.51999999999,23072.950000000004,273275.54999999993,652.0,34,0,25,0,11,0
584,50651.99999999999,23243.860000000004,276503.86,671.0,38,0,25,0,11,0
585,49602.869999999995,24127.19,272141.54,671.0,35,0,25,0,11,0
586,49475.08,23364.200000000004,270739.60000000003,657.0,36,0,25,0,11,0
587,50193.27,23213.899999999998,274180.25,670.0,37,0,25,0,11,0
588,50790.09,23572.960000000003,277523.41,663.0,34,0,25,0,11,0
589,48560.02,22960.440000000006,265760.54,652.0,36,0,24,0,11,0
590,50537.99999999999,23304.98,275994.98,659.0,36,0,22,0,11,0
591,50104.65999999999,23087.46,273610.75999999995,666.0,36,0,25,0,11,0
592,50230.74,23791.47,274945.17,671.0,35,0,25,0,11,0
593,49814.59999999999,23348.170000000002,272421.1699999999,662.0,36,0,25,0,11,0
594,49434.229999999996,22420.429999999997,269591.57999999996,657.0,37,0,23,0,11,0
